monster_id,name_th,name_en,region,sublocation,tier,ec_min,ec_max,grid_pos,hp,atk,def,spd,weak,resist,immune,signature_tech,signature_en,tech_effect,tech_school,comprehension,tech_slots,teaches,drop,drop_rate,ai_profile,is_boss,status,status_chance
M21,หญิงร่ำไห้,Weeping Lady,เมืองใต้ซาก,จตุรัสจม,32,8,20,หลัง,230,108,58,115,แสง,มืด,,เพลงหลอน,Dirge,AoE ทั้งทีม + สับสน,Black,5,2,สอนความสำคัญของการล้างสถานะ,น้ำตาแก้ว,35,caster,0,สับสน,0.55
M22,ต้นไม้เดินได้,Grovewalker,เมืองใต้ซาก,ท่อระบาย,33,8,20,หน้า,350,100,85,60,ไฟ,แทง,,รากพันธนา,Rootbind,ตรึงตำแหน่ง ห้ามสลับกริด 3 เทิร์น,Red,5,1,สอนการตรึงตำแหน่ง,แก่นไม้,50,defensive,0,ตรึง,0.65
M23,อัศวินซาก,Rust Knight,เมืองใต้ซาก,หอนาฬิกา,34,9,20,หน้า,330,120,90,88,สายฟ้า,ฟัน,,สะท้อนคม,Riposte Aura,สะท้อน 30% ดาเมจกายภาพ 3 เทิร์น,,5,2,บังคับให้สลับไปใช้เวทย์,เกราะสนิม,40,defensive,0,,0.0
M24,นักสวดมืด,Dark Chanter,เมืองใต้ซาก,จตุรัสจม,35,9,20,หลัง,250,118,60,105,แสง,,,ผนึกเวทย์,Silence Hymn,ห้ามร่ายเวทย์ 2 เทิร์น,Black,5,2,สอนว่าต้องมีท่ากายภาพสำรอง,ตำรา Black ระดับ 2,25,caster,0,ผนึก,0.6
M25,หนอนกลืนแสง,Lightgorger,เมืองใต้ซาก,ท่อระบาย,36,10,20,หน้า,360,112,75,70,มืด,,แสง,กลืนแสง,Devour Light,ดูดซับธาตุแสง แปลงเป็นการฟื้น HP,White,5,2,สอนกลไกดูดซับธาตุ,เกล็ดเรือง,40,defensive,0,,0.0
M26,ค้างคาวราชินี,Bat Matriarch,เมืองใต้ซาก,หอนาฬิกา,37,10,20,หลัง,300,110,65,140,แสง,,,เรียกฝูง,Call Brood,เรียกค้างคาวเงา 2 ตัวเข้าสนาม,,5,1,สอนการจัดการเป้าหมายที่เพิ่มขึ้น,ปีกราชินี,35,summoner,0,,0.0
M27,เงาไร้หน้า,Faceless,เมืองใต้ซาก,หอนาฬิกา,38,11,20,หน้า,320,125,70,130,แสง,,มืด,ลอกท่า,Mimic,ใช้ท่าที่ผู้เล่นใช้ล่าสุด,,5,2,สอนให้ระวังท่าแรงของตัวเอง,หน้ากากว่าง,30,mirror,0,,0.0
M28,หมาป่าจ่าฝูง,Alpha Wolf,เมืองใต้ซาก,จตุรัสจม,39,11,20,หน้า,340,130,72,145,ไฟ,,,คำรามนำฝูง,Alpha Howl,พันธมิตรทุกตัว AV -20%,Red,5,2,สอนการเร่งคิวทั้งทีม,หนังจ่าฝูง,40,pack,0,,0.0
M29,โกลเลมสลัก,Sigil Golem,เมืองใต้ซาก,หอนาฬิกา,40,12,20,หน้า,480,200,95,60,,,ธาตุล่าสุด,ผนึกธาตุ,Seal Element,ภูมิคุ้มกันธาตุที่โดนล่าสุดทันที,Red,5,2,*** สร้างความต้องการคาถาใส่จุดอ่อน ***,"ตำรา Red ""ใส่จุดอ่อน""",100,puzzle,0,ผนึก,0.8
M30,ผู้เก็บวิญญาณ,Soul Tallier,เมืองใต้ซาก,จตุรัสจม,42,12,20,หลัง,310,140,68,100,แสง,,,เก็บเกี่ยว,Tally,ดาเมจ x2 ถ้าเป้าหมาย LP ต่ำกว่าเต็ม,,5,2,สอนคุณค่าของ LP,บัญชีวิญญาณ,35,caster,0,,0.0
M31,หมีน้ำแข็ง,Glacier Maul,ยอดเขาคำสาป,ทางขึ้นน้ำแข็ง,47,13,20,หน้า,600,150,100,70,ไฟ,น้ำแข็ง,,กอดขยี้,Crush Hold,ตรึงเป้าหมาย 2 เทิร์น + ดาเมจต่อเนื่อง,,5,2,สอนการจัดการการตรึง,หนังหมี,45,aggressive,0,ตรึง,0.6
M32,มังกรน้อย,Wyrmling,ยอดเขาคำสาป,ปากปล่อง,48,13,20,หน้า,520,155,95,110,น้ำแข็ง,ไฟ,,ลมหายใจอ่อน,Lesser Breath,AoE ไฟ แบบแถว,Black,5,2,สอนโครงสร้าง AoE แถว,เกล็ดอ่อน,40,aggressive,0,,0.0
M33,หมาป่าสายฟ้า,Storm Fang,ยอดเขาคำสาป,ทางขึ้นน้ำแข็ง,50,14,20,หน้า,480,160,88,165,ทุบ,,สายฟ้า,วิ่งฟ้าผ่า,Levin Dash,AV -50% + ดาเมจสายฟ้า,Red,5,2,ท่าเร่งคิวที่แรงที่สุด,เขี้ยวประจุ,40,harasser,0,หน่วง,0.55
M34,ยักษ์หิมะ,Rime Giant,ยอดเขาคำสาป,ทางขึ้นน้ำแข็ง,52,14,20,หน้า,700,170,110,58,ไฟ,,,ทุบพื้น,Ground Quake,AoE ทั้งกริด + ทุกคน AV +25%,,5,2,สอนการจัดการ AoE ทั้งสนาม,กระดูกยักษ์,45,aggressive,0,,0.0
M35,แม่มดเถ้า,Cinder Witch,ยอดเขาคำสาป,วิหารร้าง,54,15,20,หลัง,500,175,90,120,แทง,,,สามธาตุ,Trielement,ไฟ/น้ำแข็ง/สายฟ้า สุ่มยิง 3 ครั้ง,Black,5,2,แหล่งเวทย์ Black ชั้นสูง,ตำรา Black ระดับ 3,30,caster,0,,0.0
M36,นักบุญตกสวรรค์,Fallen Saint,ยอดเขาคำสาป,วิหารร้าง,55,15,20,หลัง,540,165,95,115,มืด,,แสง,พรกลับด้าน,Inverted Grace,เปลี่ยนการฟื้นฟูของศัตรูเป็นดาเมจ 3 เทิร์น,White,5,2,บังคับให้เปลี่ยนแผนการฮีล,ตำรา White ระดับ 3,30,caster,0,,0.0
M37,ผู้พิทักษ์ประตู,Gate Warden,ยอดเขาคำสาป,วิหารร้าง,56,16,20,หน้า,680,172,120,75,สายฟ้า,ฟัน,,ปิดประตู,Seal the Gate,ห้ามใช้ Combo Tech 3 เทิร์น,,5,2,*** บังคับให้เล่นแบบไม่มีคอมโบ ***,กุญแจหิน,50,puzzle,0,,0.0
M38,นักดาบเงา,Umbral Blade,ยอดเขาคำสาป,วิหารร้าง,58,16,20,หน้า,550,180,100,155,แสง,,มืด,เจ็ดเงา,Sevenfold,โจมตี 3-7 ครั้ง สุ่มเป้าหมาย,,5,2,สอนความเสี่ยงของดาเมจกระจาย,ดาบเงา,35,aggressive,0,,0.0
M39,นักล่าไร้เงา,Shadeless Hunter,ยอดเขาคำสาป,ปากปล่อง,59,17,20,หลัง,520,185,92,150,ทุบ,,,ยิงข้ามแถว,Overshot,ตีแถวหลังโดยตรง x1.4,,5,2,สอนว่าแถวหลังไม่ปลอดภัย,ธนูดำ,40,aggressive,0,,0.0
M40,ตาแห่งห้วงลึก,Deep Eye,ยอดเขาคำสาป,ปากปล่อง,60,17,20,หลัง,600,170,105,95,แทง,,,จ้องหยุดเวลา,Stasis Gaze,ข้ามเทิร์นของเป้าหมาย 1 ครั้ง,Red,5,2,*** ท่าที่ทรงพลังที่สุดในเกม ***,ตาแก้ว,25,puzzle,0,,0.0
M41,ผู้เผาตำรา,Tome Burner,ยอดเขาคำสาป,วิหารร้าง,61,17,20,หลัง,580,178,98,110,น้ำแข็ง,,,เผาความรู้,Burn Lore,ลบท่ามอนสเตอร์ในช่อง 1 ท่าชั่วคราว,Black,5,2,บังคับให้มีแผนสำรอง,ขี้เถ้าตำรา,40,caster,0,ผนึก,0.5
M42,กระดูกมังกร,Bonewyrm,ยอดเขาคำสาป,ปากปล่อง,62,18,20,หน้า,750,190,115,85,ทุบ,,มืด,เขี้ยวเผาไหม้,Searing Fang,เผา SP ทั้งหมดของเป้าหมาย,Black,5,2,บังคับให้ประหยัด SP,กระดูกมังกร,45,aggressive,0,,0.0
M43,งูพันภูเขา,Mountain Coil,ยอดเขาคำสาป,ทางขึ้นน้ำแข็ง,63,18,20,หน้า,800,185,125,65,ไฟ,,,รัดทั้งแถว,Coil Crush,AoE คอลัมน์ + ลด DEF 30%,,5,2,สอนการกระจายตำแหน่ง,เกล็ดหนา,45,defensive,0,ตรึง,0.6
M44,เทวทูตแตกหัก,Broken Herald,ยอดเขาคำสาป,วิหารร้าง,65,19,20,หลัง,640,195,108,125,มืด,,,เสียงเรียกสุดท้าย,Last Summons,ฟื้นพันธมิตรที่ล้มทั้งหมด HP 50%,White,5,2,บังคับให้สังหารให้ขาด,ตำรา White ระดับ 4,40,caster,0,,0.0
M45,เงาของผู้กล้า,Echo of the Brave,ยอดเขาคำสาป,ปากปล่อง,68,19,20,หน้า,700,200,130,140,,,,เงาสะท้อน,Mirror Echo,ลอกทีมผู้เล่นทั้งชุด รวมท่าที่ประกายมา,,5,2,*** กระจกเงาปลายเกม ***,เงาตกผลึก,30,mirror,0,,0.0
B1,ราชาหนอนเถ้า,Ashgrub Sovereign,บอส,-,20,3,6,หน้า,900,75,70,65,,,,แผ่นดินสั่น,,AoE ทั้งกริด + ทำให้ล้มถ้าเป้าหมาย HP<30%,,1,2,บอสตัวแรก สอนว่า LP มีค่า และ White จำเป็น,"ตำรา White ""คืน LP"" (100%)",100,boss,1,,0.0
B2,อัศวินสนิมผู้ไม่ยอมตาย,Rust Paladin,บอส,-,35,7,10,หน้า,1800,125,100,90,,,,คำปฏิญาณเหล็ก,,ภูมิคุ้มกันทุกอย่าง 1 เทิร์น + ฟื้น HP 15%,,1,2,สอนการอ่านจังหวะเฟส ห้ามยิงท่าใหญ่ตอนภูมิคุ้มกัน,ตำราอัญเชิญ #1 (100%),100,boss,1,,0.0
B3,คณะเงาไร้หน้า,The Faceless Choir,บอส,-,50,11,14,หน้า,3000,160,105,125,,,,ประสานเสียง,,ใช้ท่าล่าสุดของผู้เล่นทุกคนรวดเดียว,,1,2,ยิ่งทีมคุณแรง บอสยิ่งแรง สอนการยั้งมือ,"ตำรา Red ""หยุดเวลา"" (100%)",100,boss,1,,0.0
B4,มังกรใต้พสุธา,The Wyrm Beneath,บอส,-,55,13,17,หน้า,3800,180,115,95,,,,ลมหายใจมังกร,,AoE ทั้งกริด ธาตุไฟ x2.2,,1,2,ท่านี้คือรากของ Fang of the Wyrm ในต้นไม้ท่า,ตำราอัญเชิญ #2 (100%),100,boss,1,,0.0
B5,ผู้ที่นับเหตุการณ์,The One Who Counts,บอส,-,75,17,99,หน้า,6000,210,130,110,,,,หน้าที่ยังไม่เขียน,,รีเซ็ตคิวทั้งหมด + ลบบัฟทุกอย่างในสนาม,,1,2,ตัวตนของบอสสุดท้ายคือ Event Counter เอง ยิ่ง EC สูงยิ่งแรง,-,100,boss,1,,0.0
