tech_id,name_th,school,branch,parent,req_prof,power,weight,sp,element,scope,hits,ignore_def,self_av_mult,target_av_mult,ignore_pos,free_row,note,status,status_chance
bt3,กระแทกพื้น,ทุบ,สั่นสะเทือน,ทุบ,20,85,1.3,14,ทุบ,row,1,0.0,1.0,1.0,0,0,,,0.0
bt4,แผ่นดินแยก,ทุบ,สั่นสะเทือน,กระแทกพื้น,48,115,1.6,30,ทุบ,all,1,0.0,1.0,1.15,0,0,ศัตรูทุกตัว AV +15%,หน่วง,0.45
bt5,ทุบถ่วง,ทุบ,ถ่วง,ทุบ,14,75,1.1,9,ทุบ,single,1,0.0,1.0,1.25,0,0,เป้าหมาย AV +25%,หน่วง,0.6
bt6,ตรึงพสุธา,ทุบ,ถ่วง,ทุบถ่วง,46,95,1.4,28,ทุบ,single,1,0.0,1.0,1.0,0,0,ข้ามเทิร์นเป้าหมาย 1 ครั้ง,ตรึง,0.7
pt0,แทง,แทง,,,0,95,0.95,0,แทง,single,1,0.0,1.0,1.0,0,0,ท่าเริ่มต้น น้ำหนักต่ำกว่าสายอื่น,,0.0
pt1,แทงทะลุ,แทง,เจาะ,แทง,10,130,1.15,9,แทง,single,1,0.3,1.0,1.0,0,0,เพิกเฉย DEF 30%,,0.0
pt2,ร้อยรู,แทง,เจาะ,แทงทะลุ,41,120,1.3,24,แทง,column,1,0.0,1.0,1.0,1,0,ทะลุแถวหน้าไปโดนแถวหลัง,เลือดไหล,0.5
pt3,แทงไกล,แทง,ระยะ,แทง,15,100,1.1,10,แทง,single,1,0.0,1.0,1.0,1,0,ตีแถวหลังไม่เสีย PosMult,,0.0
pt4,พายุปลาย,แทง,ระยะ,แทงไกล,43,95,1.35,26,แทง,column,1,0.0,1.0,1.0,0,0,,,0.0
pt5,แทงเร็ว,แทง,จังหวะ,แทง,6,68,0.6,5,แทง,single,1,0.0,1.0,1.0,0,0,น้ำหนักต่ำที่สุดในเกม,,0.0
pt6,พันแทง,แทง,จังหวะ,แทงเร็ว,38,45,1,20,แทง,single,4,0.0,1.0,1.0,0,0,โจมตี 4 ครั้ง,เลือดไหล,0.45
rg0,ยิง,ยิง,,,0,95,1,0,แทง,single,1,0.0,1.0,1.0,0,1,ไม่สนตำแหน่งกริดเลย,,0.0
rg1,เล็งจุดตาย,ยิง,แม่นยำ,ยิง,16,140,1.25,11,แทง,single,1,0.0,1.0,1.0,0,1,เลือกแถวได้อิสระ,,0.0
rg2,ยิงทะลวง,ยิง,แม่นยำ,เล็งจุดตาย,45,175,1.4,27,แทง,single,1,0.35,1.0,1.0,0,0,เพิกเฉย DEF 35%,,0.0
rg3,ยิงกราด,ยิง,กระจาย,ยิง,22,80,1.3,15,แทง,row,1,0.0,1.0,1.0,0,0,,,0.0
rg4,ห่าฝน,ยิง,กระจาย,ยิงกราด,47,105,1.55,29,แทง,all,1,0.0,1.0,1.0,0,0,,,0.0
rg5,เล็งนิ่ง,ยิง,ตั้งท่า,ยิง,12,0,0.5,4,,self,1,0.0,1.0,1.0,0,0,ท่ายิงถัดไปพลัง ×1.8 และน้ำหนัก ×0.6,,0.0
rg6,ยิงสังหาร,ยิง,ตั้งท่า,เล็งนิ่ง,44,210,1.5,25,แทง,single,1,0.0,1.0,1.0,0,0,ต้องเล็งนิ่งก่อนเท่านั้น,,0.0
dv0,สั่งการ,กล,,,0,85,1,0,ทุบ,single,1,0.0,1.0,1.0,0,0,สั่งอุปกรณ์โจมตี,,0.0
dv1,สั่งโจมตี,กล,อัตโนมัติ,สั่งการ,18,95,1,10,ทุบ,single,1,0.0,1.0,1.0,0,0,อุปกรณ์ได้ช่องคิวของตัวเอง 1 ช่อง,,0.0
dv2,ฝูงกล,กล,อัตโนมัติ,สั่งโจมตี,46,80,1.2,28,ทุบ,single,1,0.0,1.0,1.0,0,0,อุปกรณ์ได้ช่องคิว 2 ช่อง,,0.0
dv3,ปล่อยประจุ,กล,รบกวน,สั่งการ,14,70,1.1,9,สายฟ้า,single,1,0.0,1.0,1.2,0,0,เป้าหมาย AV +20%,หน่วง,0.55
dv4,สนามรบกวน,กล,รบกวน,ปล่อยประจุ,42,60,1.35,24,สายฟ้า,all,1,0.0,1.0,1.2,0,0,ศัตรูทุกตัว AV +20%,หน่วง,0.5
dv5,สแกน,กล,สนับสนุน,สั่งการ,8,0,0.7,6,,single,1,0.0,1.0,1.0,0,0,เปิดจุดอ่อน + ทีมได้ความเข้าใจ +2,,0.0
dv6,ชี้เป้า,กล,สนับสนุน,สแกน,40,0,1,20,,single,1,0.0,1.0,1.0,0,0,ทั้งทีมตีเป้าหมายนี้ ×1.3 เป็นเวลา 3 เทิร์น,,0.0
fs0,หมัด,มือเปล่า,,,0,90,0.85,0,ทุบ,single,1,0.0,1.0,1.0,0,0,น้ำหนักต่ำ ค่าอาวุธต่ำ,,0.0
fs1,หมัดชุด,มือเปล่า,ต่อเนื่อง,หมัด,12,50,1,8,ทุบ,single,3,0.0,1.0,1.0,0,0,โจมตี 3 ครั้ง,,0.0
fs2,พายุหมัด,มือเปล่า,ต่อเนื่อง,หมัดชุด,43,42,1.3,24,ทุบ,single,6,0.0,1.0,1.0,0,0,โจมตี 6 ครั้ง,,0.0
fs3,รับแรง,มือเปล่า,ประสาน,หมัด,15,0,0.5,7,,self,1,0.0,1.0,1.0,0,0,ตั้งรับ + สวนกลับ 60% ของดาเมจที่รับ,,0.0
fs4,สวนกลับ,มือเปล่า,ประสาน,รับแรง,41,160,1.1,22,ทุบ,single,1,0.0,1.0,1.0,0,0,แรงขึ้นตามดาเมจที่รับในเทิร์นก่อน,,0.0
fs5,หมัดสายฟ้า,มือเปล่า,เร็ว,หมัด,10,72,0.55,6,ทุบ,single,1,0.0,1.0,1.0,0,0,น้ำหนักต่ำสุดของสายโจมตี,หน่วง,0.4
fs6,ไร้เงา,มือเปล่า,เร็ว,หมัดสายฟ้า,39,85,0.8,19,ทุบ,single,1,0.0,1.0,1.0,0,0,ตีแล้ว AV ตัวเอง ×0.85 เพิ่มอีก,,0.0
